genus	count	evidence
Enterococcus	66	Bartlett;MGNIFY/gut;MGNIFY/vaginal;WIS
Citrobacter	65	Bartlett;MGNIFY/gut;WIS
Coprococcus	65	UNITN;MGNIFY/gut;WIS
Chromera	64	Not found
Kingella	60	Bartlett;UNITN;WIS
Microbacterium	60	Bartlett;UNITN;MGNIFY/vaginal;WIS
Filifactor	57	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Trichomonas	57	Not found
Trypanosoma	57	Not found
Lancefieldella	54	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Mobiluncus	54	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Granulicatella	53	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal;WIS
Helicobacter	52	Bartlett;MGNIFY/gut
Pyramidobacter	52	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Subdoligranulum	50	UNITN
Anaerotruncus	48	UNITN;MGNIFY/gut
Comamonas	45	Bartlett;MGNIFY/gut;WIS
Paraprevotella	45	MGNIFY/gut
Adlercreutzia	43	UNITN;MGNIFY/gut
Oscillibacter	43	Bartlett;UNITN;MGNIFY/gut;WIS
Coprobacter	42	MGNIFY/gut
Gardnerella	42	Bartlett;WIS
Mesorhizobium	42	WIS
Rhizophagus	42	Not found
Arachnia	41	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Duodenibacillus	41	MGNIFY/gut
Kocuria	39	Bartlett;MGNIFY/gut;WIS
Nocardioides	39	WIS
Roseateles	39	Not found
Sphingopyxis	39	Not found
Anaerostipes	38	Bartlett;UNITN;MGNIFY/gut;WIS
Lawsonibacter	35	MGNIFY/gut
Dietzia	34	Bartlett;WIS
Eimeria	34	Not found
Hammondia	34	Not found
Morganella	34	Bartlett;MGNIFY/gut;WIS
Hydrogenophaga	33	WIS
Delftia	32	Bartlett
Gordonibacter	32	Bartlett;MGNIFY/gut
Saccharomyces	32	Not found
Novosphingobium	31	WIS
Mycobacterium	30	Bartlett;MGNIFY/gut;WIS
Pusillibacter	30	Not found
Cardiobacterium	29	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;WIS
Cupriavidus	29	Bartlett;MGNIFY/gut;WIS
Dermacoccus	29	Bartlett
Moraxella	29	Bartlett;UNITN;MGNIFY/oral;WIS
Ligilactobacillus	28	MGNIFY/gut;MGNIFY/vaginal
Massilia	28	Bartlett;WIS
Candida	26	Not found
Cellulosimicrobium	26	Bartlett
Rhodopseudomonas	26	Not found
Serratia	26	Bartlett;MGNIFY/gut;WIS
Acidaminococcus	25	Bartlett;UNITN;MGNIFY/gut
Aeromonas	25	Bartlett;MGNIFY/gut;WIS
Brevibacterium	25	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Piscinibacter	25	Not found
Ruminococcus	25	Bartlett;UNITN;MGNIFY/gut;WIS
Xanthomonas	25	WIS
Methylorubrum	24	Not found
Simplexvirus	24	Not found
Janthinobacterium	23	WIS
Lacticaseibacillus	23	MGNIFY/gut;MGNIFY/oral
Peptoniphilus	23	Bartlett;UNITN;WIS
Puccinia	23	Not found
Fusarium	22	Not found
Trueperella	22	Bartlett
Entamoeba	21	Not found
Morococcus	21	Not found
Mycolicibacterium	21	Not found
Shinella	21	Not found
Dysosmobacter	20	MGNIFY/gut
Polaribacter	20	Not found
Anaerobutyricum	19	MGNIFY/gut
Lautropia	19	UNITN;MGNIFY/oral;WIS
Phytophthora	19	Not found
Gordonia	18	Bartlett;WIS
Bosea	16	WIS
Curtobacterium	16	Bartlett;WIS
Finegoldia	16	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Intestinibacillus	16	Not found
Megasphaera	16	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Metamycoplasma	16	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Shewanella	16	Bartlett;WIS
Spiroplasma	16	Bartlett
Cryptosporidium	15	Not found
Caulobacter	14	UNITN;MGNIFY/gut
Jonquetella	14	Bartlett;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Lawsonella	14	Bartlett;UNITN;MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Ottowia	14	MGNIFY/oral
Pauljensenia	14	MGNIFY/gut;MGNIFY/oral;MGNIFY/vaginal
Candidatus Nanosynbacter	13	Not found
Dermabacter	13	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal
Janibacter	13	Bartlett;UNITN;WIS
Paraburkholderia	13	Not found
Pseudoalteromonas	13	WIS
Roseomonas	13	Bartlett;WIS
Thomasclavelia	13	Not found
Winkia	13	MGNIFY/gut;MGNIFY/vaginal
Eubacterium	12	Bartlett;UNITN;MGNIFY/gut;WIS
Gleimia	12	MGNIFY/gut;MGNIFY/vaginal
Legionella	12	Bartlett
Micromonospora	12	Not found
Aquabacterium	11	Not found
Caldimonas	11	Not found
Naegleria	11	Not found
Abiotrophia	10	Bartlett;UNITN;MGNIFY/oral
Actinotignum	10	Bartlett;MGNIFY/vaginal
Aquincola	10	Not found
Edhazardia	10	Not found
Hydrogenophilus	10	WIS
Sarcocystis	10	Not found
Agrobacterium	9	Bartlett;WIS
Anaerococcus	9	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Barnesiella	9	MGNIFY/gut;WIS
Blastomyces	9	Not found
Cloacibacillus	9	UNITN;MGNIFY/gut
Desulfobulbus	9	MGNIFY/oral
Fannyhessea	9	MGNIFY/gut;MGNIFY/vaginal
Flintibacter	9	Not found
Lactococcus	9	Bartlett;MGNIFY/gut;WIS
Pahexavirus	9	Not found
Pseudoxanthomonas	9	Bartlett;UNITN;WIS
Sphingobacterium	9	Bartlett;WIS
Wujia	9	Not found
Lactiplantibacillus	8	MGNIFY/gut
Longicatena	8	MGNIFY/gut
Mycoplasma	8	Bartlett;UNITN
Nostoc	8	Not found
Parolsenella	8	MGNIFY/gut
Pasteurella	8	Bartlett
Pseudoglutamicibacter	8	MGNIFY/vaginal
Tardiphaga	8	Not found
Agathobaculum	7	MGNIFY/gut
Alicycliphilus	7	Not found
Amycolatopsis	7	Bartlett
Bordetella	7	Bartlett
